City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san cristobal,7.7669,-72.225,26.1,56,97,2.47,VE,1680715153
1,albany,42.6001,-73.9662,12.54,83,95,6.37,US,1680715250
2,hermanus,-34.4187,19.2345,22.11,67,14,1.46,ZA,1680715306
3,busselton,-33.65,115.3333,13.68,88,55,3.48,AU,1680715306
4,mataura,-46.1927,168.8643,6.89,68,36,3.95,NZ,1680715306
5,mar del plata,-38.0023,-57.5575,23.79,74,40,8.75,AR,1680715137
6,punta arenas,-53.15,-70.9167,11.01,56,53,9.82,CL,1680715307
7,pangai,-19.8,-174.35,26.06,78,40,4.12,TO,1680715307
8,accra,5.556,-0.1969,29.23,79,0,5.66,GH,1680715015
9,rocha,-34.4833,-54.3333,22.18,49,64,5.27,UY,1680715308
10,hofn,64.2539,-15.2082,8.01,81,20,4.63,IS,1680715308
11,karpathos,35.507,27.2132,15.98,63,20,4.63,GR,1680715308
12,chara,56.9064,118.2631,-13.74,82,100,2.88,RU,1680715309
13,aasiaat,68.7098,-52.8699,-18.65,82,21,1.83,GL,1680715309
14,buraydah,26.326,43.975,25.25,11,1,4.76,SA,1680715309
15,mount isa,-20.7333,139.5,16.87,67,99,0.0,AU,1680715310
16,esperance,-33.8667,121.9,18.28,73,88,10.18,AU,1680715310
17,lebu,-37.6167,-73.65,16.48,69,99,4.3,CL,1680715310
18,saint george,37.1041,-113.5841,8.02,36,0,1.34,US,1680715311
19,te anau,-45.4167,167.7167,5.51,83,48,2.58,NZ,1680715311
20,walvis bay,-22.9575,14.5053,23.53,56,34,5.14,NA,1680715311
21,provideniya,64.3833,-173.3,-21.54,95,49,2.59,RU,1680715312
22,naze,28.3667,129.4833,19.51,86,100,8.16,JP,1680715312
23,chumikan,54.7183,135.315,-4.98,88,42,4.49,RU,1680715312
24,santa cruz cabralia,-16.2781,-39.0247,28.13,78,40,3.09,BR,1680715312
25,hilo,19.7297,-155.09,25.71,90,100,2.57,US,1680715313
26,mehamn,71.0357,27.8492,1.97,87,75,6.17,NO,1680715313
27,waingapu,-9.6567,120.2641,25.06,84,62,1.53,ID,1680715313
28,matara,5.9485,80.5353,25.72,84,48,0.64,LK,1680715313
29,north battleford,52.7834,-108.2847,-9.95,73,0,1.54,CA,1680715314
30,pevek,69.7008,170.3133,-27.04,84,42,1.38,RU,1680715314
31,kapaa,22.0752,-159.319,24.18,88,100,6.69,US,1680715315
32,pangnirtung,66.1451,-65.7125,-20.0,71,40,2.57,CA,1680715315
33,airai,-8.9266,125.4092,15.64,92,99,0.69,TL,1680715315
34,ilulissat,69.2167,-51.1,-10.99,57,20,6.69,GL,1680715316
35,okhotsk,59.3833,143.3,-14.7,100,97,1.47,RU,1680715316
36,herat,34.5,62.0,14.97,29,11,2.87,AF,1680715316
37,tuktoyaktuk,69.4541,-133.0374,-16.0,85,100,5.14,CA,1680715316
38,bahia blanca,-38.7196,-62.2724,24.34,46,0,6.71,AR,1680715317
39,sisimiut,66.9395,-53.6735,-9.57,66,4,5.68,GL,1680715317
40,klaksvik,62.2266,-6.589,8.51,92,99,3.15,FO,1680715317
41,hobart,-42.8794,147.3294,11.7,83,100,0.0,AU,1680715159
42,cape town,-33.9258,18.4232,23.39,70,0,4.12,ZA,1680715318
43,paso de carrasco,-34.8603,-56.0522,22.25,69,40,6.17,UY,1680715318
44,qaanaaq,77.484,-69.3632,-21.92,72,9,0.66,GL,1680715318
45,catamarca,-28.4696,-65.7852,27.1,54,10,2.68,AR,1680715319
46,ayan,56.45,138.1667,-9.44,75,10,4.03,RU,1680715319
